timestamp,cpu_usage,assigned_mem
1299600,6373273.760194691,1980908.0
1299900,6373712.270242942,1978646.0
1300200,6351383.633948955,1979594.0
1300500,6406601.404157463,1979374.0
1300800,6354843.544116824,1979062.0
1301100,6515729.794123146,1978964.0
1301400,6437910.90217581,1979182.0
1301700,6379493.62767172,1978662.0
1302000,6383934.930846282,1976852.0
1302300,6377202.5724686645,1975512.0
1302600,6230301.574537901,1973706.0
1302900,6339926.699478685,1969288.0
1303200,6281842.163759165,1967634.0
1303500,6294961.5316961985,1967814.0
1303800,6316136.198035058,1969418.0
1304100,6273316.004584255,1967150.0
1304400,6209701.029480646,1966398.0
1304700,6361158.138363064,1966376.0
1305000,6269281.765616936,1967500.0
1305300,6246566.119218945,1964098.0
1305600,6294258.231651762,1963530.0
1305900,6258265.915889481,1958584.0
1306200,6175571.461061804,1955406.0
1306500,6232718.266029589,1953916.0
1306800,6182365.89908505,1953158.0
1307100,6184094.663297598,1953820.0
1307400,6112166.088752441,1953340.0
1307700,6102229.726491586,1952366.0
1308000,6086172.803868072,1952378.0
1308300,6264256.3213431975,1953312.0
1308600,6167857.916368177,1954898.0
1308900,6119316.437792253,1954298.0
1309200,6149425.1346838735,1953952.0
1309500,6156987.629522264,1953474.0
1309800,6104454.594241859,1951940.0
1310100,6098370.446427165,1946384.0
1310400,6058174.181578597,1945996.0
1310700,6062675.657336753,1945394.0
1311000,6059170.834782287,1947728.0
1311300,6010150.439371492,1948406.0
1311600,6019859.372670887,1949040.0
1311900,6238049.646964696,1949582.0
1312200,6255579.853871665,1950666.0
1312500,6207429.672359347,1948310.0
1312800,6216618.3546192525,1947452.0
1313100,6324558.589189775,1947366.0
1313400,6326811.038805078,1948132.0
1313700,6238353.378222329,1949708.0
1314000,6139960.285230374,1947552.0
1314300,6177118.599091277,1945812.0
1314600,6203057.384638687,1945118.0
1314900,6205544.844812685,1944764.0
1315200,6120277.968187752,1947304.0
1315500,6290829.532824775,1949020.0
1315800,6245371.129581317,1952848.0
1316100,6221238.418438029,1953132.0
1316400,6286856.754077221,1954052.0
1316700,6117663.481862908,1953582.0
1317000,6128033.652536941,1951650.0
1317300,6042753.93561816,1950784.0
1317600,5903924.634425027,1951180.0
1317900,5940213.798924126,1948772.0
1318200,5924720.850204036,1947564.0
1318500,5849163.287174487,1947928.0
1318800,5827796.029189794,1949122.0
1319100,6038728.311950916,1950222.0
1319400,5896007.360300888,1952592.0
1319700,5867258.037895556,1949486.0
1320000,5860149.347249192,1948324.0
1320300,5875685.505439012,1946908.0
1320600,5795151.073893513,1943458.0
1320900,5848761.415917407,1943432.0
1321200,5775380.926520595,1942732.0
1321500,5761541.894529948,1943026.0
1321800,5730697.822186894,1942322.0
1322100,5690751.929812389,1940730.0
1322400,5647039.18783844,1940428.0
1322700,5882589.468452863,1941098.0
1323000,5776686.467812658,1943112.0
1323300,5777060.931783828,1946356.0
1323600,5778004.311664512,1946932.0
1323900,5765770.460722301,1942990.0
1324200,5730207.674481791,1940024.0
1324500,5780140.7126428485,1938792.0
1324800,5676942.173328514,1938398.0
1325100,5681626.593936914,1938610.0
1325400,5673107.094383246,1938310.0
1325700,5644317.913090133,1936668.0
1326000,5608658.965064381,1934732.0
1326300,5762460.737780156,1934896.0
1326600,5633427.695743898,1931582.0
1326900,5571326.795665252,1931650.0
1327200,5655972.121338049,1932016.0
1327500,5696226.610414323,1931202.0
1327800,5675401.739053585,1930402.0
1328100,5716404.939638122,1930658.0
1328400,5620987.939084303,1931348.0
1328700,5604987.661845166,1929244.0
1329000,5631876.446228801,1926868.0
1329300,5566435.378477634,1925244.0
1329600,5532043.576276098,1926198.0
1329900,5724186.791100727,1926326.0
1330200,5603009.224073613,1928604.0
1330500,5611457.590077817,1928354.0
1330800,5633719.467834086,1927088.0
1331100,5625651.358699315,1925176.0
1331400,5564380.443609671,1925666.0
1331700,5623347.567793489,1926184.0
1332000,5530113.2447702475,1924476.0
1332300,5546330.870978677,1924226.0
1332600,5580613.94547147,1923902.0
1332900,5534933.393594773,1924830.0
1333200,5533193.217788368,1926430.0
1333500,5779981.748732919,1925926.0
1333800,5696399.778511096,1930244.0
1334100,5658045.056049575,1931944.0
1334400,5650424.6959444685,1931200.0
1334700,5673253.503345543,1931998.0
1335000,5617794.190757336,1931512.0
1335300,5701667.582109713,1933002.0
1335600,5722279.406052242,1934226.0
1335900,5704666.096127216,1935726.0
1336200,5741732.033719375,1935456.0
1336500,5722016.393249076,1935164.0
1336800,5623224.374427603,1934962.0
1337100,5700362.902522266,1933766.0
1337400,5585474.07212379,1936996.0
1337700,5562402.276526292,1938756.0
1338000,5636901.8732699435,1935056.0
1338300,5657133.815187918,1936600.0
1338600,5614098.480836155,1938132.0
1338900,5691790.271434815,1938484.0
1339200,5633522.767365316,1937942.0
1339500,5650117.084737543,1939442.0
1339800,5716637.141703393,1939684.0
1340100,5694765.6312474115,1937876.0
1340400,5664489.435440659,1937910.0
1340700,5887191.602051594,1940076.0
1341000,5783751.482608249,1943024.0
1341300,5744968.798500592,1946008.0
1341600,5796706.185451081,1947686.0
1341900,5789161.205307152,1946672.0
1342200,5715445.258114599,1948294.0
1342500,5790465.271536461,1950388.0
1342800,5709486.457874457,1946366.0
1343100,5723718.596094971,1947806.0
1343400,5742242.235621659,1948766.0
1343700,5747995.561508645,1948722.0
1344000,5726187.930011947,1949204.0
1344300,6019683.834092656,1947468.0
1344600,5821176.869216267,1951842.0
1344900,5797102.789639775,1954818.0
1345200,5799387.986311451,1955260.0
1345500,5810391.1249371655,1953930.0
1345800,5728758.830673929,1954472.0
1346100,5808517.765177328,1954210.0
1346400,5786715.409587104,1954940.0
1346700,5859222.335602703,1956170.0
1347000,5871770.08126694,1954538.0
1347300,5831015.109143977,1954238.0
1347600,5749087.547196922,1957386.0
1347900,5975399.40445043,1963306.0
1348200,5832091.221481548,1964442.0
1348500,5802239.344721815,1962238.0
1348800,5792633.329382229,1960008.0
1349100,5756907.521532329,1958476.0
1349400,5571542.58734916,1957716.0
1349700,5644150.582227416,1954528.0
1350000,5592034.0638217395,1953786.0
1350300,5599117.818454929,1952284.0
1350600,5621789.050707131,1953552.0
1350900,5577866.531554766,1954826.0
1351200,5499982.589362196,1952992.0
1351500,5740530.839794821,1952686.0
1351800,5626992.138134231,1938696.0
1352100,5671508.082142777,1937044.0
1352400,5675976.893478701,1937518.0
1352700,5645545.581202159,1939230.0
1353000,5623557.838978254,1942124.0
1353300,5720321.404581991,1948086.0
1353600,5617874.525803504,1952790.0
1353900,5686222.596106305,1953724.0
1354200,5722855.938341195,1956534.0
1354500,5747756.170951212,1958314.0
1354800,5762754.014072547,1960316.0
1355100,5883431.704293696,1958104.0
1355400,5816172.585869251,1959834.0
1355700,5765771.478037245,1959642.0
1356000,5802718.79227178,1962202.0
1356300,5903049.429241196,1962832.0
1356600,5885893.569417053,1961218.0
1356900,6029315.303320066,1961610.0
1357200,5886960.9780997755,1961494.0
1357500,6054200.952489401,1961952.0
1357800,5960499.4594294485,1962124.0
1358100,5799025.420981123,1960082.0
1358400,5750608.011993729,1957562.0
1358700,5868609.211116146,1955686.0
1359000,5943784.621373845,1959206.0
1359300,5883092.054906006,1959026.0
1359600,5872818.451231079,1960814.0
1359900,5923554.311328945,1962470.0
1360200,5784758.193201934,1962076.0
1360500,5780667.494828881,1961302.0
1360800,5643935.68129102,1960702.0
1361100,5667739.667175053,1959620.0
1361400,5649499.840949112,1956906.0
1361700,5630406.641862077,1959450.0
1362000,5567827.083126933,1961252.0
1362300,5754213.027237285,1960294.0
1362600,5652697.252221371,1959860.0
1362900,5657365.525277076,1950970.0
1363200,5667594.195268184,1948696.0
1363500,5717379.431315227,1947892.0
1363800,5657138.583587086,1947784.0
1364100,5733117.244776873,1948192.0
1364400,5674271.054312436,1947878.0
1364700,5651435.079525877,1947420.0
1365000,5649862.439508543,1945222.0
1365300,5575319.051135765,1946100.0
1365600,5496692.157393361,1940074.0
1365900,5721049.831503752,1941666.0
1366200,5652988.9374083895,1944696.0
1366500,5636222.086175203,1945934.0
1366800,5668749.813494689,1946822.0
1367100,5707328.385404639,1948160.0
1367400,5646911.041732313,1946140.0
1367700,5742282.444406013,1944108.0
1368000,5638239.992098492,1943490.0
1368300,5645709.192789724,1939724.0
1368600,5660171.873349048,1939032.0
1368900,5600911.232616159,1939230.0
1369200,5548457.907832751,1939184.0
1369500,5735354.039978873,1940094.0
1369800,5632709.956037408,1941586.0
1370100,5620559.4931478305,1941500.0
1370400,5689844.680566106,1942494.0
1370700,5675396.104690632,1942314.0
1371000,5621752.776271191,1938252.0
1371300,5677576.222240354,1935830.0
1371600,5584522.955717719,1935062.0
1371900,5642339.304260718,1935276.0
1372200,5637817.412745408,1933986.0
1372500,5586443.512850361,1932948.0
1372800,5555577.7317755595,1929744.0
1373100,5764043.689550952,1931838.0
1373400,5681538.918118364,1933712.0
1373700,5692647.513390022,1936036.0
1374000,5750308.11005703,1935164.0
1374300,5736832.255412193,1933906.0
1374600,5642884.454764916,1932680.0
1374900,5686791.47629921,1932542.0
1375200,5569460.286238802,1933296.0
1375500,5596860.904400119,1931862.0
1375800,5606315.69426541,1930334.0
1376100,5581757.409593169,1931224.0
1376400,5547561.710091295,1930748.0
1376700,5859687.367904911,1930890.0
1377000,5785461.414711455,1933552.0
1377300,5793601.739224498,1937458.0
1377600,5799651.149637963,1937190.0
1377900,5826724.982848894,1937528.0
1378200,5762911.096331378,1936282.0
1378500,5824375.831371974,1934230.0
1378800,5752539.197477436,1932866.0
1379100,5778581.4295910895,1933348.0
1379400,5808544.038964608,1933368.0
1379700,5686060.776362368,1932576.0
1380000,5614389.908934404,1928262.0
1380300,5806183.052149365,1929014.0
1380600,5702306.091715366,1932712.0
1380900,5713942.538718954,1935474.0
1381200,5799921.640387932,1934946.0
1381500,5765837.508349225,1934050.0
1381800,5712672.797085442,1933624.0
1382100,5730197.819179829,1935130.0
1382400,5632658.65506592,1935030.0
1382700,5652599.638946608,1934882.0
1383000,5676627.599622199,1935044.0
1383300,5683821.806489537,1936216.0
1383600,5651685.153295238,1937496.0
1383900,5928105.185358201,1938700.0
1384200,5820712.973389824,1940230.0
1384500,5808469.867975739,1938664.0
1384800,5885834.944762971,1939392.0
1385100,5913674.432970937,1943260.0
1385400,5919394.981742041,1947732.0
1385700,6023271.3257761905,1948588.0
1386000,5939444.53964543,1950722.0
1386300,5934800.153317084,1954090.0
1386600,5986056.752373176,1956822.0
1386900,5783519.248986481,1960112.0
1387200,5735616.072230273,1958880.0
1387500,5972495.453972756,1958686.0
1387800,5872404.940143414,1959082.0
1388100,5855324.315704981,1956608.0
1388400,5897645.657162363,1957584.0
1388700,5881847.945991541,1955710.0
1389000,5838104.558560897,1953886.0
1389300,5897545.238356094,1952780.0
1389600,5787003.908601919,1950364.0
1389900,5740359.438324972,1949864.0
1390200,5740066.159625054,1946926.0
1390500,5732184.027485791,1948512.0
1390800,5697204.908428376,1948304.0
1391100,5935787.534641797,1948252.0
1391400,5786482.220131484,1949072.0
1391700,5748020.592154257,1945926.0
1392000,5768974.255607075,1933680.0
1392300,5803599.650376602,1932432.0
1392600,5769227.902312918,1930972.0
1392900,5844141.728076965,1932340.0
1393200,5730330.956160841,1932062.0
1393500,5728874.849893193,1930284.0
1393800,5750489.417648698,1929466.0
1394100,5722009.179282979,1929178.0
1394400,5683266.172989162,1929310.0
1394700,5849755.06679708,1931796.0
1395000,5737824.696521659,1931770.0
1395300,5677118.637891899,1931448.0
1395600,5696224.619537386,1928754.0
1395900,5683274.430394934,1929566.0
1396200,5627138.831360907,1928764.0
1396500,5684503.706170917,1929216.0
1396800,5621565.397697525,1927764.0
1397100,5623813.467438089,1926676.0
1397400,5638090.901708218,1927744.0
1397700,5606289.067501941,1926452.0
1398000,5573952.45215885,1927204.0
1398300,5787708.68232951,1926322.0
1398600,5901453.059323613,1927820.0
1398900,5948376.42435194,1926148.0
1399200,5966654.164335855,1926686.0
1399500,5924462.133287452,1926172.0
1399800,5982361.646315577,1925804.0
1400100,5950367.291087976,1926230.0
1400400,5775486.058122597,1925476.0
1400700,5733670.9074115325,1921732.0
1401000,5804736.2445223285,1920736.0
1401300,5749606.963460947,1922528.0
1401600,5699428.057885897,1920396.0
